,Category,Message
1361,0,"['c', 'o', 'o', 'l', 'w', 'e', 'w', 'i', 'l', 'l', 'h', 'a', 'v', 'e', 'f', 'u', 'n', 'p', 'r', 'a', 'c', 't', 'i', 'c', 'i', 'n', 'g', 'm', 'a', 'k', 'i', 'n', 'g', 'b', 'a', 'b', 'i', 'e', 's']"
1362,0,"['a', 'c', 't', 'u', 'a', 'l', 'l', 'y', 'g', 'e', 't', 't', 'i', 'n', 'g', 'r', 'e', 'a', 'd', 'y', 't', 'o', 'l', 'e', 'a', 'v', 'e', 't', 'h', 'e', 'h', 'o', 'u', 's', 'e']"
1363,0,"['k', 'k', 'a', 'n', 'y', 's', 'p', 'e', 'c', 'i', 'a', 'l', 't', 'o', 'd', 'a', 'y']"
1364,1,"['u', 'r', 'g', 'e', 'n', 't', 'i', 'm', 'p', 'o', 'r', 't', 'a', 'n', 't', 'i', 'n', 'f', 'o', 'r', 'm', 'a', 't', 'i', 'o', 'n', 'f', 'o', 'r', 'o', '2', 'u', 's', 'e', 'r', 't', 'o', 'd', 'a', 'y', 'i', 's', 'y', 'o', 'u', 'r', 'l', 'u', 'c', 'k', 'y', 'd', 'a', 'y', '2', 'f', 'i', 'n', 'd', 'o', 'u', 't', 'w', 'h', 'y', 'l', 'o', 'g', 'o', 'n', 't', 'o', 'h', 't', 't', 'p', 'w', 'w', 'w', 'u', 'r', 'a', 'w', 'i', 'n', 'n', 'e', 'r', 'c', 'o', 'm', 't', 'h', 'e', 'r', 'e', 'i', 's', 'a', 'f', 'a', 'n', 't', 'a', 's', 't', 'i', 'c', 's', 'u', 'r', 'p', 'r', 'i', 's', 'e', 'a', 'w', 'a', 'i', 't', 'i', 'n', 'g', 'f', 'o', 'r', 'y', 'o', 'u']"
1365,0,"['t', 'h', 'e', 'n', 'w', 'e', 'g', 'o', 't', 't', 'a', 'd', 'o', 'i', 't', 'a', 'f', 't', 'e', 'r', 't', 'h', 'a', 't']"
1366,0,"['i', 'v', 'e', 'g', 'o', 't', 't', 'e', 'n', 'b', 'u', 'c', 'k', 's', 'j', 'a', 'y', 'i', 's', 'b', 'e', 'i', 'n', 'g', 'n', 'o', 'n', 'c', 'o', 'm', 'i', 't', 't', 'a', 'l']"
1367,0,"['w', 'h', 'e', 'r', 'e', 'a', 't', 'w', 'e', 'r', 'e', 'h', 'u', 'n', 'g', 'r', 'y', 't', 'o', 'o']"
1368,0,"['p', 'l', 's', 's', 'p', 'e', 'a', 'k', 't', 'o', 't', 'h', 'a', 't', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', 'm', 'a', 'c', 'h', 'a', 'n']"
1369,0,"['s', 'o', 'm', 'e', 'w', 'h', 'e', 'r', 'e', 'o', 'u', 't', 't', 'h', 'e', 'r', 'e', 'b', 'e', 'n', 'e', 'a', 't', 'h', 't', 'h', 'e', 'p', 'a', 'l', 'e', 'm', 'o', 'o', 'n', 'l', 'i', 'g', 'h', 't', 's', 'o', 'm', 'e', 'o', 'n', 'e', 't', 'h', 'i', 'n', 'k', 'i', 'n', 'o', 'f', 'u', 's', 'o', 'm', 'e', 'w', 'h', 'e', 'r', 'e', 'o', 'u', 't', 't', 'h', 'e', 'r', 'e', 'w', 'h', 'e', 'r', 'e', 'd', 'r', 'e', 'a', 'm', 's', 'c', 'o', 'm', 'e', 't', 'r', 'u', 'e', 'g', 'o', 'o', 'd', 'n', 'i', 't', 'e', 'a', 'm', 'p', 's', 'w', 'e', 'e', 't', 'd', 'r', 'e', 'a', 'm', 's']"
1370,1,"['d', 'e', 'a', 'r', 'u', 'v', 'e', 'b', 'e', 'e', 'n', 'i', 'n', 'v', 'i', 't', 'e', 'd', 't', 'o', 'x', 'c', 'h', 'a', 't', 't', 'h', 'i', 's', 'i', 's', 'o', 'u', 'r', 'f', 'i', 'n', 'a', 'l', 'a', 't', 't', 'e', 'm', 'p', 't', 't', 'o', 'c', 'o', 'n', 't', 'a', 'c', 't', 'u', 't', 'x', 't', 'c', 'h', 'a', 't', 't', 'o', '8', '6', '6', '8', '8', '1', '5', '0', 'p', 'm', 's', 'g', 'r', 'c', 'v', 'd', 'h', 'g', 's', 'u', 'i', 't', 'e', '3', '4', '2', '2', 'l', 'a', 'n', 'd', 's', 'r', 'o', 'w', 'w', '1', 'j', '6', 'h', 'l', 'l', 'd', 'n', '1', '8', 'y', 'r', 's']"
1371,0,"['s', 'o', 'w', 'a', 't', 's', 'u', 'r', 'o', 'p', 'i', 'n', 'i', 'o', 'n', 'a', 'b', 't', 'h', 'i', 'm', 'a', 'n', 'd', 'h', 'o', 'w', 'a', 'b', 't', 'i', 's', 'c', 'h', 'a', 'r', 'a', 'c', 't', 'e', 'r']"
1372,0,"['j', 'a', 'y', 'i', 's', 's', 'n', 'i', 'c', 'k', 'e', 'r', 'i', 'n', 'g', 'a', 'n', 'd', 't', 'e', 'l', 'l', 's', 'm', 'e', 't', 'h', 'a', 't', 'x', 'i', 's', 't', 'o', 't', 'a', 'l', 'l', 'y', 'f', 'u', 'c', 'k', 'i', 'n', 'g', 'u', 'p', 't', 'h', 'e', 'c', 'h', 'o', 'r', 'd', 's', 'a', 's', 'w', 'e', 's', 'p', 'e', 'a', 'k']"
1373,0,"['n', 'o', 'f', 'e', 'w', 'h', 'o', 'u', 'r', 's', 'b', 'e', 'f', 'o', 'r', 'e', 'w', 'e', 'n', 't', 't', 'o', 'h', 'a', 'i', 'r', 'c', 'u', 't']"
1374,0,"['n', 'o', 'w', 'o', 'n', 'd', 'e', 'r', 'c', 'o', 's', 'i', 'd', 'u', 'n', 'r', 'e', 'm', 's', 'e', 'e', 'i', 'n', 'g', 'a', 's', 'i', 'l', 'v', 'e', 'r', 'c', 'a', 'r', 'b', 'u', 't', 'i', 't', 'h', 'k', 'i', 's', 'a', 'w', 'a', 'b', 'l', 'a', 'c', 'k', 'o', 'n', 'e']"
1375,0,"['l', 'm', 'a', 'o', 't', 'a', 'k', 'e', 'a', 'p', 'i', 'c', 'a', 'n', 'd', 's', 'e', 'n', 'd', 'i', 't', 't', 'o', 'm', 'e']"
1376,0,"['s', 'p', 'e', 'a', 'k', 'o', 'n', 'l', 'y', 'w', 'h', 'e', 'n', 'y', 'o', 'u', 'f', 'e', 'e', 'l', 'y', 'o', 'u', 'r', 'w', 'o', 'r', 'd', 's', 'a', 'r', 'e', 'b', 'e', 't', 't', 'e', 'r', 't', 'h', 'a', 'n', 't', 'h', 'e', 's', 'i', 'l', 'e', 'n', 'c', 'e', 'g', 'u', 'd', 'm', 'r', 'n', 'g']"
1377,0,"['n', 'o', 's', 'h', 'e', 's', 'c', 'u', 'r', 'r', 'e', 'n', 't', 'l', 'y', 'i', 'n', 's', 'c', 'o', 't', 'l', 'a', 'n', 'd', 'f', 'o', 'r', 't', 'h', 'a', 't']"
1378,0,"['d', 'o', 'y', 'o', 'u', 'w', 'o', 'r', 'k', 'a', 'l', 'l', 't', 'h', 'i', 's', 'w', 'e', 'e', 'k']"
1379,1,"['c', 'o', 'n', 'g', 'r', 'a', 't', 'u', 'l', 'a', 't', 'i', 'o', 'n', 's', 'u', 'r', 'a', 'w', 'a', 'r', 'd', 'e', 'd', 'e', 'i', 't', 'h', 'e', 'r', '5', '0', '0', 'o', 'f', 'c', 'd', 'g', 'i', 'f', 't', 'v', 'o', 'u', 'c', 'h', 'e', 'r', 's', 'f', 'r', 'e', 'e', 'e', 'n', 't', 'r', 'y', '2', 'o', 'u', 'r', '1', '0', '0', 'w', 'e', 'e', 'k', 'l', 'y', 'd', 'r', 'a', 'w', 't', 'x', 't', 'm', 'u', 's', 'i', 'c', 't', 'o', '8', '7', '0', '6', '6', 't', 'n', 'c', 's', 'w', 'w', 'w', 'l', 'd', 'e', 'w', 'c', 'o', 'm', '1', 'w', 'i', 'n', '1', '5', '0', 'p', 'p', 'm', 'x', '3', 'a', 'g', 'e', '1', '6']"
1380,0,"['l', 'o', 'l', 'g', 'r', 'e', 'a', 't', 'n', 'o', 'w', 'i', 'm', 'g', 'e', 't', 't', 'i', 'n', 'g', 'h', 'u', 'n', 'g', 'r', 'y']"
1381,0,"['y', 'e', 's', 'n', 'o', 'w', 'o', 'n', 'l', 'y', 's', 'a', 'w', 'y', 'o', 'u', 'r', 'm', 'e', 's', 's', 'a', 'g', 'e']"
1382,0,"['i', 'l', 'l', 'b', 'e', 'a', 't', 'm', 'u', 'i', 'n', 'l', 'i', 'k', 'e', 'l', 't', 'g', 't', 's', 'e', 'c', 'o', 'n', 'd', 's']"
1383,0,"['t', 'h', 'i', 'n', 'g', 'r', 'g', 'o', 'o', 'd', 't', 'h', 'a', 'n', 'x', 'g', 'o', 't', 'e', 'x', 'a', 'm', 's', 'i', 'n', 'm', 'a', 'r', 'c', 'h', 'i', 'v', 'e', 'd', 'o', 'n', 'e', 'n', 'o', 'r', 'e', 'v', 'i', 's', 'i', 'o', 'n', 'i', 's', 'f', 'r', 'a', 'n', 's', 't', 'i', 'l', 'l', 'w', 'i', 't', 'h', 'b', 'o', 'y', 'f', 'i', 'v', 'e', 'g', 'o', 't', 't', 'a', 'i', 'n', 't', 'e', 'r', 'v', 'i', 'w', '4', 'e', 'x', 'e', 't', 'e', 'r', 'b', 'i', 't', 'w', 'o', 'r', 'r', 'i', 'e', 'd', 'x']"
1384,0,"['t', 'e', 'l', 'l', 'y', 'o', 'u', 'w', 'h', 'a', 't', 'i', 'f', 'y', 'o', 'u', 'm', 'a', 'k', 'e', 'a', 'l', 'i', 't', 't', 'l', 'e', 's', 'p', 'r', 'e', 'a', 'd', 's', 'h', 'e', 'e', 't', 'a', 'n', 'd', 't', 'r', 'a', 'c', 'k', 'w', 'h', 'o', 's', 'e', 'i', 'd', 'e', 'a', 'i', 't', 'w', 'a', 's', 't', 'o', 's', 'm', 'o', 'k', 'e', 't', 'o', 'd', 'e', 't', 'e', 'r', 'm', 'i', 'n', 'e', 'w', 'h', 'o', 's', 'm', 'o', 'k', 'e', 's', 't', 'o', 'o', 'm', 'u', 'c', 'h', 'f', 'o', 'r', 't', 'h', 'e', 'e', 'n', 't', 'i', 'r', 'e', 'm', 'o', 'n', 't', 'h', 'o', 'f', 'f', 'e', 'b', 'r', 'u', 'a', 'r', 'y']"
1385,1,"['f', 'o', 'r', 's', 'a', 'l', 'e', 'a', 'r', 's', 'e', 'n', 'a', 'l', 'd', 'a', 'r', 't', 'b', 'o', 'a', 'r', 'd', 'g', 'o', 'o', 'd', 'c', 'o', 'n', 'd', 'i', 't', 'i', 'o', 'n', 'b', 'u', 't', 'n', 'o', 'd', 'o', 'u', 'b', 'l', 'e', 's', 'o', 'r', 't', 'r', 'e', 'b', 'l', 'e', 's']"
1386,0,"['d', 'o', 'n', 't', 'l', 'o', 'o', 'k', 'b', 'a', 'c', 'k', 'a', 't', 't', 'h', 'e', 'b', 'u', 'i', 'l', 'd', 'i', 'n', 'g', 'b', 'e', 'c', 'a', 'u', 's', 'e', 'y', 'o', 'u', 'h', 'a', 'v', 'e', 'n', 'o', 'c', 'o', 'a', 't', 'a', 'n', 'd', 'i', 'd', 'o', 'n', 't', 'w', 'a', 'n', 't', 'y', 'o', 'u', 't', 'o', 'g', 'e', 't', 'm', 'o', 'r', 'e', 's', 'i', 'c', 'k', 'j', 'u', 's', 't', 'h', 'u', 'r', 'r', 'y', 'h', 'o', 'm', 'e', 'a', 'n', 'd', 'w', 'e', 'a', 'r', 'a', 'c', 'o', 'a', 't', 't', 'o', 't', 'h', 'e', 'g', 'y', 'm']"
1387,0,"['m', 'y', 'p', 'a', 'i', 'n', 'f', 'u', 'l', 'p', 'e', 'r', 's', 'o', 'n', 'a', 'l', 't', 'h', 'o', 'u', 'g', 'h', 't', 'i', 'a', 'l', 'w', 'a', 'y', 's', 't', 'r', 'y', 't', 'o', 'k', 'e', 'e', 'p', 'e', 'v', 'e', 'r', 'y', 'b', 'o', 'd', 'y', 'h', 'a', 'p', 'p', 'y', 'a', 'l', 'l', 't', 'h', 'e', 't', 'i', 'm', 'e', 'b', 'u', 't', 'n', 'o', 'b', 'o', 'd', 'y', 'r', 'e', 'c', 'o', 'g', 'n', 'i', 's', 'e', 's', 'm', 'e', 'w', 'h', 'e', 'n', 'i', 'a', 'm', 'a', 'l', 'o', 'n', 'e']"
1388,0,"['t', 'h', 'a', 'n', 'k', 's', 'f', 'o', 'r', 'v', 'e', 'l', 'o', 'v', 'e', 'l', 'y', 'w', 'i', 's', 'h', 'e', 'd', 's', 'y', 'o', 'u', 'r', 'o', 'c', 'k']"
1389,0,"['y', 'o', 'u', 'i', 'n', 't', 'r', 'e', 'p', 'i', 'd', 'd', 'u', 'o', 'y', 'o', 'u', 'h', 'a', 'v', 'e', 'a', 'g', 'r', 'e', 'a', 't', 't', 'i', 'm', 'e', 'a', 'n', 'd', 's', 'e', 'e', 'y', 'o', 'u', 'b', 'o', 't', 'h', 's', 'o', 'o', 'n']"
1390,0,"['i', 'a', 's', 'k', 'e', 'd', 's', 'e', 'n', 't', 'o', 'c', 'o', 'm', 'e', 'c', 'h', 'e', 'n', 'n', 'a', 'i', 'a', 'n', 'd', 's', 'e', 'a', 'r', 'c', 'h', 'f', 'o', 'r', 'j', 'o', 'b']"
1391,0,"['d', 'a', 'd', 'w', 'e', 'n', 't', 'o', 'u', 't', 'o', 'r', 'e', 'd', 'i']"
1392,0,"['i', 'j', 'u', 's', 'h', 'o', 'p', 'e', 'i', 't', 's', 't', 'r', 'u', 'e', 't', 'h', 'a', 't', 'm', 'i', 's', 's', 'i', 'n', 'm', 'e', 'c', 'o', 's', 'i', 'm', 'r', 'e', 'a', 'l', 'l', 'y', 'm', 'i', 's', 's', 'i', 'n', 'h', 'i', 'm', 'y', 'o', 'u', 'h', 'a', 'v', 'e', 'n', 't', 'd', 'o', 'n', 'e', 'a', 'n', 'y', 't', 'h', 'i', 'n', 'g', 't', 'o', 'f', 'e', 'e', 'l', 'g', 'u', 'i', 'l', 't', 'y', 'a', 'b', 'o', 'u', 't', 'y', 'e', 't']"
1393,0,"['w', 'a', 't', 's', 'o', 'l', 'a', 't', 'e', 's', 't', 'i', 'l', 'l', 'e', 'a', 'r', 'l', 'y', 'm', 'a', 'h', 'o', 'r', 'w', 'e', 'j', 'u', 'z', 'g', 'o', '4', 'd', 'i', 'n', 'n', 'e', 'r', 'l', 'o', 'r', 'a', 'i', 'y', 'a', 'i', 'd', 'u', 'n', 'n', 'o']"
1394,0,"['a', 'r', 'm', 's', 'f', 'i', 'n', 'e', 'h', 'o', 'w', 's', 'c', 'a', 'r', 'd', 'i', 'f', 'f', 'a', 'n', 'd', 'u', 'n', 'i']"
1395,0,"['i', 'n', 'f', 'a', 'c', 't', 'w', 'h', 'e', 'n', 'd', 'o', 'y', 'o', 'u', 'l', 'e', 'a', 'v', 'e', 'i', 't', 'h', 'i', 'n', 'k', 'a', 'd', 'd', 'i', 'e', 'g', 'o', 'e', 's', 'b', 'a', 'c', 'k', 't', 'o', 's', 'c', 'h', 'o', 'o', 'l', 't', 'u', 'e', 's', 'o', 'r', 'w', 'e', 'd']"
1396,0,"['c', 'o', 'o', 'l', 'b', 'r', 'e', 'e', 'z', 'e', 'b', 'r', 'i', 'g', 'h', 't', 's', 'u', 'n', 'f', 'r', 'e', 's', 'h', 'f', 'l', 'o', 'w', 'e', 'r', 't', 'w', 'i', 't', 't', 'e', 'r', 'i', 'n', 'g', 'b', 'i', 'r', 'd', 's', 'a', 'l', 'l', 't', 'h', 'e', 's', 'e', 'w', 'a', 'i', 't', 'i', 'n', 'g', 't', 'o', 'w', 'i', 's', 'h', 'u', 'g', 'o', 'o', 'd', 'm', 'o', 'r', 'n', 'i', 'n', 'g', 'a', 'm', 'p', 'h', 'a', 'v', 'e', 'a', 'n', 'i', 'c', 'e', 'd', 'a', 'y']"
1397,0,"['y', 'a', 'g', 'o', 'i', 'n', 'g', 'f', 'o', 'r', 'r', 'e', 's', 't', 'a', 'u', 'r', 'a', 'n', 't']"
1398,0,"['i', 't', 's', 'o', 'k', 'i', 'j', 'u', 's', 't', 'a', 's', 'k', 'd', 'd', 'i', 'd', 'u', 'k', 'n', 'w', 't', 'h', 't', 'n', 'o']"
1399,1,"['f', 'r', 'e', 'e', '1', 's', 't', 'w', 'e', 'e', 'k', 'e', 'n', 't', 'r', 'y', '2', 't', 'e', 'x', 't', 'p', 'o', 'd', '4', 'a', 'c', 'h', 'a', 'n', 'c', 'e', '2', 'w', 'i', 'n', '4', '0', 'g', 'b', 'i', 'p', 'o', 'd', 'o', 'r', '2', '5', '0', 'c', 'a', 's', 'h', 'e', 'v', 'e', 'r', 'y', 'w', 'k', 't', 'x', 't', 'p', 'o', 'd', 't', 'o', '8', '4', '1', '2', '8', 't', 's', 'c', 's', 'w', 'w', 'w', 't', 'e', 'x', 't', 'p', 'o', 'd', 'n', 'e', 't', 'c', 'u', 's', 't', 'c', 'a', 'r', 'e', '0', '8', '7', '1', '2', '4', '0', '5', '0', '2', '0']"
1400,0,"['t', 'h', 'o', 's', 'e', 'd', 'u', 'c', 'k', 'i', 'n', 'g', 'c', 'h', 'i', 'n', 'c', 'h', 'i', 'l', 'l', 'a', 's']"
1401,0,"['i', 'a', 'm', 'i', 'n', 'a', 'm', 'a', 'r', 'r', 'i', 'a', 'g', 'e', 'f', 'u', 'n', 'c', 't', 'i', 'o', 'n']"
1402,0,"['l', 'o', 'o', 'k', 's', 'l', 'i', 'k', 'e', 'u', 'w', 'i', 'l', 'b', 'g', 'e', 't', 't', 'i', 'n', 'g', 'a', 'h', 'e', 'a', 'd', 's', 't', 'a', 'r', 't', 'i', 'm', 'l', 'e', 'a', 'v', 'i', 'n', 'g', 'h', 'e', 'r', 'e', 'b', 'o', 'u', 't', '2', '3', '0', 'i', 's', 'h', 'b', 'u', 't', 'i', 'f', 'u', 'r', 'd', 'e', 's', 'p', 'e', 'r', 'a', 't', 'e', 'f', 'o', 'r', 'm', 'y', 'c', 'o', 'm', 'p', 'a', 'n', 'y', 'i', 'c', 'o', 'u', 'l', 'd', 'h', 'e', 'a', 'd', 'i', 'n', 'e', 'a', 'r', 'l', 'i', 'e', 'r', 'w', 'e', 'w', 'e', 'r', 'e', 'g', 'o', 'i', 'n', 't', 'o', 'm', 'e', 'e', 't', 'i', 'n', 'r', 'u', 'm', 'm', 'e', 'r']"
1403,0,"['d', 'o', 'n', 't', 'g', 'i', 'v', 'e', 'a', 'f', 'l', 'y', 'i', 'n', 'g', 'm', 'o', 'n', 'k', 'e', 'y', 's', 'w', 'o', 't', 't', 'h', 'e', 'y', 't', 'h', 'i', 'n', 'k', 'a', 'n', 'd', 'i', 'c', 'e', 'r', 't', 'a', 'i', 'n', 'l', 'y', 'd', 'o', 'n', 't', 'm', 'i', 'n', 'd', 'a', 'n', 'y', 'f', 'r', 'i', 'e', 'n', 'd', 'o', 'f', 'm', 'i', 'n', 'e', 'a', 'n', 'd', 'a', 'l', 'l', 't', 'h', 'a', 't']"
1404,1,"['a', 's', 'a', 'r', 'e', 'g', 'i', 's', 't', 'e', 'r', 'e', 'd', 'o', 'p', 't', 'i', 'n', 's', 'u', 'b', 's', 'c', 'r', 'i', 'b', 'e', 'r', 'u', 'r', 'd', 'r', 'a', 'w', '4', '1', '0', '0', 'g', 'i', 'f', 't', 'v', 'o', 'u', 'c', 'h', 'e', 'r', 'w', 'i', 'l', 'l', 'b', 'e', 'e', 'n', 't', 'e', 'r', 'e', 'd', 'o', 'n', 'r', 'e', 'c', 'e', 'i', 'p', 't', 'o', 'f', 'a', 'c', 'o', 'r', 'r', 'e', 'c', 't', 'a', 'n', 's', 't', 'o', '8', '0', '0', '6', '2', 'w', 'h', 'a', 't', 's', 'n', 'o', '1', 'i', 'n', 't', 'h', 'e', 'b', 'b', 'c', 'c', 'h', 'a', 'r', 't', 's']"
1405,0,"['s', 'a', 'y', 't', 'h', 'a', 'n', 'k', 's', '2']"
1406,0,"['m', 's', 'g', 'm', 'e', 'w', 'h', 'e', 'n', 'r', 'a', 'j', 'i', 'n', 'i', 'c', 'o', 'm', 'e', 's']"
1407,0,"['y', 'a', 'w', 'h', 'e', 'n', 'a', 'r', 'e', 't', 'a', 'k', 'i', 'n', 'g', 'u', 'r', 'e', 'p', 'r', 'a', 'c', 't', 'i', 'c', 'a', 'l', 'l', 'e', 's', 's', 'o', 'n', 's', 'i', 's', 't', 'a', 'r', 't', 'i', 'n', 'j', 'u', 'n', 'e']"
1408,0,"['t', 'h', 'a', 't', 's', 'g', 'o', 'o', 'd', 'b', 'e', 'c', 'a', 'u', 's', 'e', 'i', 'n', 'e', 'e', 'd', 'd', 'r', 'u', 'g', 's']"
1409,0,"['s', 't', 'u', 'p', 'i', 'd', 'i', 't', 's', 'n', 'o', 't', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e']"
1410,0,"['c', 'a', 'n', 'a', 'l', 'l', 'd', 'e', 'c', 'i', 'd', 'e', 'f', 'a', 's', 't', 'e', 'r', 'c', 'o', 's', 'm', 'y', 's', 'i', 's', 'g', 'o', 'i', 'n', 'g', 'h', 'o', 'm', 'e', 'l', 'i', 'a', 'o']"
1411,1,"['s', 'u', 'm', 'm', 'e', 'r', 's', 'f', 'i', 'n', 'a', 'l', 'l', 'y', 'h', 'e', 'r', 'e', 'f', 'a', 'n', 'c', 'y', 'a', 'c', 'h', 'a', 't', 'o', 'r', 'f', 'l', 'i', 'r', 't', 'w', 'i', 't', 'h', 's', 'e', 'x', 'y', 's', 'i', 'n', 'g', 'l', 'e', 's', 'i', 'n', 'y', 'r', 'a', 'r', 'e', 'a', 't', 'o', 'g', 'e', 't', 'm', 'a', 't', 'c', 'h', 'e', 'd', 'u', 'p', 'j', 'u', 's', 't', 'r', 'e', 'p', 'l', 'y', 's', 'u', 'm', 'm', 'e', 'r', 'n', 'o', 'w', 'f', 'r', 'e', 'e', '2', 'j', 'o', 'i', 'n', 'o', 'p', 't', 'o', 'u', 't', 't', 'x', 't', 's', 't', 'o', 'p', 'h', 'e', 'l', 'p', '0', '8', '7', '1', '4', '7', '4', '2', '8', '0', '4']"
1412,0,"['u', 's', 'l', 'e', 'e', 'p', 'i', 'n', 'g', 'n', 'o', 'w', 'o', 'r', 'y', 'o', 'u', 'g', 'o', 'i', 'n', 'g', 't', 'o', 't', 'a', 'k', 'e', 'h', 'a', 'h', 'a', 'i', 'g', 'o', 't', 's', 'p', 'y', 's', 'w', 'a', 't', 'm', 'e', 'o', 'n', 'l', 'i', 'n', 'e', 'c', 'h', 'e', 'c', 'k', 'i', 'n', 'g', 'n', 'r', 'e', 'p', 'l', 'y', 'i', 'n', 'g', 'm', 'a', 'i', 'l', 's', 'l', 'o', 'r']"
1413,1,"['c', 'l', 'a', 'i', 'r', 'e', 'h', 'e', 'r', 'e', 'a', 'm', 'h', 'a', 'v', 'i', 'n', 'b', 'o', 'r', 'i', 'n', 't', 'i', 'm', 'e', 'a', 'm', 'n', 'o', 'w', 'a', 'l', 'o', 'n', 'e', 'u', 'w', 'a', 'n', 'n', 'a', 'c', 'u', 'm', 'o', 'v', 'e', 'r', '2', 'n', 'i', 't', 'e', 'c', 'h', 'a', 't', 'n', 'o', 'w', '0', '9', '0', '9', '9', '7', '2', '5', '8', '2', '3', 'h', 'o', 'p', 'e', '2', 'c', 'u', 'l', 'u', 'v', 'c', 'l', 'a', 'i', 'r', 'e', 'x', 'x', 'c', 'a', 'l', 'l', 's', '1', 'm', 'i', 'n', 'm', 'o', 'r', 'e', 'm', 'o', 'b', 's', 'e', 'm', 's', 'p', 'o', 'b', 'o', 'x', '4', '5', 'p', 'o', '1', '3', '9', 'w', 'a']"
1414,1,"['b', 'o', 'u', 'g', 'h', 't', 'o', 'n', 'e', 'r', 'i', 'n', 'g', 't', 'o', 'n', 'e', 'a', 'n', 'd', 'n', 'o', 'w', 'g', 'e', 't', 't', 'i', 'n', 'g', 't', 'e', 'x', 't', 's', 'c', 'o', 's', 't', 'i', 'n', 'g', '3', 'p', 'o', 'u', 'n', 'd', 'o', 'f', 'f', 'e', 'r', 'i', 'n', 'g', 'm', 'o', 'r', 'e', 't', 'o', 'n', 'e', 's', 'e', 't', 'c']"
1415,0,"['y', 'a', 'l', 'r', 'u', 'l', 'y', 'f', 'u', 'a', 's', 't', 'n', 'e', 'c', 'h', 'i', 'k', 'k', 'u', 'b', 't', 'i', 'n', 'n', 'u', 'm', 'u', 'n', 'd', 'h', 'e', 'l', 'y', 'f', 'a', 'l', 'i', 'h', 'a', 'l', 'l', 'a', 'k', 'e', 'b', 'i', 'l', 'o', 'm', 'a', 'r', 'r', 'i', 'a', 'g', 'e', 'p', 'r', 'o', 'g', 'r', 'a', 'm', 'e', 'd', 'h', 'a', 'e', 's', 'o', 'l', 'y', 'f', 'i', 's', 'n', 't', 'y', 'e', 't', 'o', 'v', 'r', 'c', 'h', 'i', 'k', 'k', 'u', 'a', 'l', 'i', 'v', 'a', 'r', 'g', 'u', 'l', 'y', 'f', 'u', 'm', 'e', 'o', 'w', 'm', 'e', 'o', 'w', 'd']"
1416,0,"['k', 'i', 'n', 'd', 'a', 'f', 'i', 'r', 's', 't', 'o', 'n', 'e', 'g', 'e', 't', 's', 'i', 'n', 'a', 't', 't', 'w', 'e', 'l', 'v', 'e', 'a', 'a', 'h', 's', 'p', 'e', 'a', 'k', 't', 'o', 'm', 'o']"
1417,1,"['0', '9', '0', '6', '6', '3', '6', '2', '2', '3', '1', 'u', 'r', 'g', 'e', 'n', 't', 'y', 'o', 'u', 'r', 'm', 'o', 'b', 'i', 'l', 'e', 'n', 'o', '0', '7', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'w', 'o', 'n', 'a', '2', '0', '0', '0', 'b', 'o', 'n', 'u', 's', 'c', 'a', 'l', 'l', 'e', 'r', 'p', 'r', 'i', 'z', 'e', 'o', 'n', '0', '2', '0', '6', '0', '3', 't', 'h', 'i', 's', 'i', 's', 't', 'h', 'e', '2', 'n', 'd', 'a', 't', 't', 'e', 'm', 'p', 't', 't', 'o', 'r', 'e', 'a', 'c', 'h', 'y', 'o', 'u', 'c', 'a', 'l', 'l', '0', '9', '0', '6', '6', '3', '6', '2', '2', '3', '1', 'a', 's', 'a', 'p']"
1418,0,"['o', 'k', 'g', 'o', 'o', 'd', 't', 'h', 'e', 'n', 'i', 'l', 'a', 't', 'e', 'r', 'c', 'o', 'm', 'e', 'f', 'i', 'n', 'd', 'c', 'l', 'u', 'c', 'k', 'y', 'i', 't', 'o', 'l', 'd', 't', 'o', 'g', 'o', 'e', 'a', 'r', 'l', 'i', 'e', 'r', 'l', 'a', 't', 'e', 'r', 'p', 'p', 'l', 'e', 't', 'a', 'k', 'e', 'f', 'i', 'n', 'i', 's', 'h', 'n', 'o', 'm', 'o', 'r', 'e', 'a', 'g', 'a', 'i', 'n']"
1419,0,"['w', 'a', 't', 'm', 'a', 'k', 'e', 's', 'u', 't', 'h', 'k', 'i', 'l', 'l', 'f', 'a', 'l', 'l', 'd', 'o', 'w', 'n', 'b', 'u', 't', 'a', 'c', 't', 'u', 'a', 'l', 'l', 'y', 'i', 't', 'h', 'k', 'i', 'm', 'q', 'u', 'i', 't', 'e', 'p', 'r', 'o', 'n', 'e', '2', 'f', 'a', 'l', 'l', 's', 'l', 'u', 'c', 'k', 'y', 'm', 'y', 'd', 'a', 'd', 'a', 't', 'h', 'o', 'm', 'e', 'i', 'a', 's', 'k', 'h', 'i', 'm', 'c', 'o', 'm', 'e', 'n', 'f', 'e', 't', 'c', 'h', 'm', 'e', 'a', 'l', 'r', 'e', 'a', 'd', 'y']"
